timestamp,station_complex_id,station_complex,passenger_exits
2025-05-05 00:00:00,396,96 St (6),39.815599999999996
2025-05-05 00:00:00,397,"86 St (4,5,6)",83.5116
2025-05-05 00:00:00,398,77 St (6),43.5952
2025-05-05 00:00:00,399,68 St-Hunter College (6),21.6752
2025-05-05 00:00:00,403,33 St (6),54.003499999999995
2025-05-05 00:00:00,404,28 St (6),35.223
2025-05-05 00:00:00,405,23 St (6),40.1613
2025-05-05 00:00:00,407,Astor Pl (6),37.3089
2025-05-05 00:00:00,409,Spring St (6),19.5823
2025-05-05 00:00:00,413,"Wall St (4,5)",33.9433
2025-05-05 00:00:00,414,"Bowling Green (4,5)",61.3442
2025-05-05 00:00:00,416,Wakefield-241 St (2),36.8631
2025-05-05 00:00:00,417,"Nereid Av (2,5)",10.7671
2025-05-05 00:00:00,418,"233 St (2,5)",28.8677
2025-05-05 00:00:00,419,"225 St (2,5)",27.601
2025-05-05 00:00:00,420,"219 St (2,5)",25.2609
2025-05-05 00:00:00,421,"Gun Hill Rd (2,5)",45.2684
2025-05-05 00:00:00,422,"Burke Av (2,5)",16.0029
2025-05-05 00:00:00,423,"Allerton Av (2,5)",33.306
2025-05-05 00:00:00,424,"Pelham Pkwy (2,5)",49.2152
2025-05-05 00:00:00,425,"Bronx Park East (2,5)",17.7768
2025-05-05 00:00:00,426,"E 180 St (2,5)",73.7753
2025-05-05 00:00:00,427,"West Farms Sq-E Tremont Av (2,5)",41.8759
2025-05-05 00:00:00,428,"174 St (2,5)",44.417
2025-05-05 00:00:00,429,"Freeman St (2,5)",49.2973
2025-05-05 00:00:00,430,"Simpson St (2,5)",70.4971
2025-05-05 00:00:00,431,"Intervale Av (2,5)",33.9928
2025-05-05 00:00:00,432,"Prospect Av (2,5)",53.048
2025-05-05 00:00:00,433,"Jackson Av (2,5)",44.5992
2025-05-05 00:00:00,434,"3 Av-149 St (2,5)",147.0117
2025-05-05 00:00:00,436,Harlem-148 St (3),22.577099999999998
2025-05-05 00:00:00,437,145 St (3),22.5098
2025-05-05 00:00:00,438,"135 St (2,3)",96.4013
2025-05-05 00:00:00,439,"125 St (2,3)",67.908
2025-05-05 00:00:00,440,"116 St (2,3)",61.7753
2025-05-05 00:00:00,441,"Central Park North (110 St) (2,3)",46.066
2025-05-05 00:00:00,442,Eastchester-Dyre Av (5),19.8165
2025-05-05 00:00:00,443,Baychester Av (5),20.6149
2025-05-05 00:00:00,444,Gun Hill Rd (5),34.2273
2025-05-05 00:00:00,445,Pelham Pkwy (5),10.1839
2025-05-05 00:00:00,446,Morris Park (5),12.9574
2025-05-05 00:00:00,447,Flushing-Main St (7),285.4506
2025-05-05 00:00:00,448,Mets-Willets Point (7),17.8309
2025-05-05 00:00:00,449,111 St (7),162.8782
