transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude
2025-05-05 06:00:00,subway,98,"Flushing Av (M,J)",Brooklyn,omny,OMNY - Fair Fare,2.0,0.0,40.70026,-73.941124
2025-05-05 06:00:00,subway,159,"81 St-Museum of Natural History (C,B)",Manhattan,metrocard,Metrocard - Other,3.0,0.0,40.781433,-73.972145
2025-05-05 06:00:00,subway,160,"72 St (C,B)",Manhattan,metrocard,Metrocard - Fair Fare,1.0,0.0,40.775593,-73.97641
2025-05-05 06:00:00,subway,186,Van Siclen Av (C),Brooklyn,omny,OMNY - Other,1.0,0.0,40.67271,-73.89036
2025-05-05 06:00:00,subway,211,"Bedford Park Blvd (B,D)",Bronx,omny,OMNY - Other,1.0,0.0,40.873245,-73.88714
2025-05-05 06:00:00,subway,218,"167 St (B,D)",Bronx,omny,OMNY - Full Fare,174.0,16.0,40.83377,-73.91844
2025-05-05 06:00:00,subway,22,"Rector St (R,W)",Manhattan,omny,OMNY - Full Fare,39.0,13.0,40.70722,-74.01334
2025-05-05 06:00:00,subway,221,21 St-Queensbridge (M),Queens,metrocard,Metrocard - Unlimited 30-Day,22.0,0.0,40.754204,-73.94283
2025-05-05 06:00:00,subway,240,"7 Av (F,G)",Brooklyn,metrocard,Metrocard - Unlimited 30-Day,10.0,0.0,40.66627,-73.98031
2025-05-05 06:00:00,subway,346,Sutter Av-Rutland Rd (3),Brooklyn,metrocard,Metrocard - Unlimited 30-Day,46.0,0.0,40.66472,-73.92261
2025-05-05 06:00:00,subway,392,"125 St (4,5,6)",Manhattan,metrocard,Metrocard - Seniors & Disability,11.0,2.0,40.80414,-73.93759
2025-05-05 06:00:00,subway,395,103 St (6),Manhattan,omny,OMNY - Other,6.0,0.0,40.7906,-73.94748
2025-05-05 06:00:00,subway,439,"125 St (2,3)",Manhattan,omny,OMNY - Seniors & Disability,8.0,2.0,40.807755,-73.945496
2025-05-05 06:00:00,subway,6,"39 Av-Dutch Kills (N,W)",Queens,metrocard,Metrocard - Unlimited 30-Day,5.0,0.0,40.75288,-73.932755
2025-05-05 06:00:00,subway,605,"168 St-Washington Hts (1,A,C)",Manhattan,omny,OMNY - Students,39.0,0.0,40.840637,-73.93985
2025-05-05 06:00:00,subway,606,"Court Sq-23 St (7,E,F,G)",Queens,metrocard,Metrocard - Unlimited 30-Day,30.0,0.0,40.747143,-73.94503
2025-05-05 06:00:00,subway,129,Halsey St (L),Queens,metrocard,Metrocard - Seniors & Disability,1.0,0.0,40.695602,-73.90408
2025-05-05 06:00:00,subway,143,Inwood-207 St (A),Manhattan,omny,OMNY - Seniors & Disability,15.0,3.0,40.868073,-73.9199
2025-05-05 06:00:00,subway,169,"Canal St (A,C,E)",Manhattan,metrocard,Metrocard - Other,22.0,0.0,40.720825,-74.005226
2025-05-05 06:00:00,subway,257,Sutphin Blvd (F),Queens,omny,OMNY - Students,25.0,2.0,40.70546,-73.81071
2025-05-05 06:00:00,subway,286,Broadway (G),Brooklyn,metrocard,Metrocard - Fair Fare,12.0,1.0,40.706093,-73.95031
2025-05-05 06:00:00,subway,347,Saratoga Av (3),Brooklyn,metrocard,Metrocard - Fair Fare,11.0,0.0,40.661453,-73.91633
2025-05-05 06:00:00,subway,364,Zerega Av (6),Bronx,metrocard,Metrocard - Unlimited 7-Day,10.0,0.0,40.836487,-73.84704
2025-05-05 06:00:00,subway,397,"86 St (4,5,6)",Manhattan,metrocard,Metrocard - Seniors & Disability,3.0,0.0,40.77949,-73.95559
2025-05-05 06:00:00,subway,431,"Intervale Av (2,5)",Bronx,metrocard,Metrocard - Unlimited 30-Day,9.0,0.0,40.82218,-73.896736
2025-05-05 06:00:00,subway,447,Flushing-Main St (7),Queens,omny,OMNY - Fair Fare,53.0,31.0,40.7596,-73.83003
2025-05-05 06:00:00,subway,476,86 St (Q),Manhattan,omny,OMNY - Full Fare,298.0,6.0,40.77789,-73.95179
