transit_timestamp,station_complex_id,station_complex,borough,latitude,longitude,passenger_entries
2025-05-05 00:00:00,325,Canal St (1),Manhattan,40.722855,-74.00628,23.0
2025-05-05 00:00:00,326,Franklin St (1),Manhattan,40.71932,-74.00689,17.0
2025-05-05 00:00:00,327,"Chambers St (1,2,3)",Manhattan,40.715477,-74.00927,48.0
2025-05-05 00:00:00,328,WTC Cortlandt (1),Manhattan,40.711834,-74.01219,14.0
2025-05-05 00:00:00,329,Rector St (1),Manhattan,40.70751,-74.01379,11.0
2025-05-05 00:00:00,333,"Wall St (2,3)",Manhattan,40.70682,-74.0091,40.0
2025-05-05 00:00:00,334,"Clark St (2,3)",Brooklyn,40.697468,-73.99309,18.0
2025-05-05 00:00:00,336,"Hoyt St (2,3)",Brooklyn,40.690544,-73.98506,23.0
2025-05-05 00:00:00,337,"Nevins St (2,3,4,5)",Brooklyn,40.688248,-73.98049,64.0
2025-05-05 00:00:00,339,"Bergen St (2,3)",Brooklyn,40.68083,-73.9751,29.0
2025-05-05 00:00:00,340,"Grand Army Plaza (2,3)",Brooklyn,40.675236,-73.97105,15.0
2025-05-05 00:00:00,341,"Eastern Pkwy-Brooklyn Museum (2,3)",Brooklyn,40.671986,-73.96438,10.0
2025-05-05 00:00:00,343,Nostrand Av (3),Brooklyn,40.669846,-73.95046,6.0
2025-05-05 00:00:00,344,Kingston Av (3),Brooklyn,40.6694,-73.94216,11.0
2025-05-05 00:00:00,345,"Crown Hts-Utica Av (3,4)",Brooklyn,40.668896,-73.932945,49.0
2025-05-05 00:00:00,346,Sutter Av-Rutland Rd (3),Brooklyn,40.66472,-73.92261,13.0
2025-05-05 00:00:00,347,Saratoga Av (3),Brooklyn,40.661453,-73.91633,15.0
2025-05-05 00:00:00,348,Rockaway Av (3),Brooklyn,40.662548,-73.90894,15.0
2025-05-05 00:00:00,349,Junius St (3),Brooklyn,40.663513,-73.90245,6.0
2025-05-05 00:00:00,350,Pennsylvania Av (3),Brooklyn,40.664635,-73.8949,5.0
2025-05-05 00:00:00,351,Van Siclen Av (3),Brooklyn,40.665447,-73.8894,7.0
2025-05-05 00:00:00,352,New Lots Av (3),Brooklyn,40.666237,-73.88408,33.0
2025-05-05 00:00:00,353,"President St-Medgar Evers College (2,5)",Brooklyn,40.667885,-73.95068,5.0
2025-05-05 00:00:00,354,"Sterling St (2,5)",Brooklyn,40.662743,-73.95085,9.0
2025-05-05 00:00:00,355,"Winthrop St (2,5)",Brooklyn,40.65665,-73.9502,12.0
2025-05-05 00:00:00,356,"Church Av (2,5)",Brooklyn,40.650845,-73.94958,10.0
2025-05-05 00:00:00,357,"Beverly Rd (2,5)",Brooklyn,40.6451,-73.94896,5.0
2025-05-05 00:00:00,358,"Newkirk Av-Little Haiti (2,5)",Brooklyn,40.63997,-73.94841,10.0
2025-05-05 00:00:00,359,"Flatbush Av-Brooklyn College (2,5)",Brooklyn,40.632835,-73.94764,51.0
2025-05-05 00:00:00,360,Pelham Bay Park (6),Bronx,40.852463,-73.82812,16.0
2025-05-05 00:00:00,361,Buhre Av (6),Bronx,40.84681,-73.832565,2.0
2025-05-05 00:00:00,362,Middletown Rd (6),Bronx,40.843864,-73.83632,3.0
2025-05-05 00:00:00,363,Westchester Sq-E Tremont Av (6),Bronx,40.839893,-73.84295,5.0
2025-05-05 00:00:00,364,Zerega Av (6),Bronx,40.836487,-73.84704,4.0
2025-05-05 00:00:00,365,Castle Hill Av (6),Bronx,40.834255,-73.85122,20.0
2025-05-05 00:00:00,366,Parkchester (6),Bronx,40.833225,-73.86082,10.0
2025-05-05 00:00:00,367,St Lawrence Av (6),Bronx,40.83151,-73.867615,4.0
2025-05-05 00:00:00,368,Morrison Av-Soundview (6),Bronx,40.82952,-73.87452,10.0
2025-05-05 00:00:00,369,Elder Av (6),Bronx,40.828583,-73.87916,8.0
2025-05-05 00:00:00,370,Whitlock Av (6),Bronx,40.826527,-73.886284,2.0
2025-05-05 00:00:00,371,Hunts Point Av (6),Bronx,40.82095,-73.89055,31.0
