stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,level_id
"20319","Kilmore East Station","-37.29365111","144.98352038","https://transport.vic.gov.au/stop/1532/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:KET","1","Level 0"
"20320","Kyneton Station","-37.25836427","144.45080164","https://transport.vic.gov.au/stop/1533/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:KYN","1","Level 0"
"20321","Lara Station","-38.02242764","144.41440429","https://transport.vic.gov.au/stop/1534/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:LRA","1","Level 0"
"20323","Little River Station","-37.96292909","144.49848487","https://transport.vic.gov.au/stop/1535/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:LRR","1","Level 0"
"20324","Longwarry Station","-38.11099211","145.76686029","https://transport.vic.gov.au/stop/1536/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:LWY","1","Level 0"
"20325","Macedon Station","-37.42366057","144.56125843","https://transport.vic.gov.au/stop/1537/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:MDN","1","Level 0"
"20326","Malmsbury Station","-37.18977634","144.37532192","https://transport.vic.gov.au/stop/1538/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:MBY","1","Level 0"
"20327","Marshall Station","-38.19854900","144.35505671","https://transport.vic.gov.au/stop/1539/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:MAS","1","Level 0"
"20328","Moe Station","-38.17690856","146.26057161","https://transport.vic.gov.au/stop/1540/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:MOE","1","Level 0"
"20329","Mooroopna Station","-36.39912828","145.35821484","https://transport.vic.gov.au/stop/1541/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:MPA","1","Level 0"
"20330","Morwell Station","-38.23671876","146.39675305","https://transport.vic.gov.au/stop/1542/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:MWL","1","Level 0"
"20331","Murchison East Station","-36.61314794","145.24063556","https://transport.vic.gov.au/stop/1543/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:MST","1","Level 0"
"20332","Nagambie Station","-36.78546410","145.16035666","https://transport.vic.gov.au/stop/1544/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:NGE","1","Level 0"
"20333","Nar Nar Goon Station","-38.08150256","145.57175867","https://transport.vic.gov.au/stop/1545/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:NNG","1","Level 0"
"20334","North Geelong Station","-38.12283523","144.35227190","https://transport.vic.gov.au/stop/1546/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:NGL","1","Level 0"
"20335","North Shore Station","-38.09837714","144.36532142","https://transport.vic.gov.au/stop/1547/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:NSH","1","Level 0"
"20336","Pyramid Station","-36.05311274","144.11313271","https://transport.vic.gov.au/stop/1548/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:PYD","1","Level 0"
"20337","Riddells Creek Station","-37.46490085","144.67995066","https://transport.vic.gov.au/stop/1549/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:RIK","1","Level 0"
